City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,iskateley,67.6803,53.1512,11.67,90,100,5.85,RU,1689882314
1,remire-montjoly,4.9167,-52.2667,30.02,70,75,4.12,GF,1689882383
2,happy valley-goose bay,53.3168,-60.3315,24.17,43,75,6.17,CA,1689882261
3,bethel,41.3712,-73.414,30.86,60,40,2.57,US,1689882377
4,mendoza,-32.8908,-68.8272,15.74,31,0,3.24,AR,1689882300
5,anadyr,64.75,177.4833,11.28,93,100,4.0,RU,1689882406
6,grytviken,-54.2811,-36.5092,-3.93,89,98,1.84,GS,1689882237
7,al jawf,29.5,38.75,32.61,14,0,2.61,SA,1689882358
8,vila franca do campo,37.7167,-25.4333,23.23,72,100,0.45,PT,1689882431
9,meadow lakes,61.6247,-149.6011,16.52,87,100,1.79,US,1689882262
10,yuzha,56.5831,42.0122,12.44,93,18,3.44,RU,1689882484
11,adamstown,-25.066,-130.1015,22.74,81,100,16.66,PN,1689882378
12,hammerfest,70.6634,23.6821,8.25,100,75,6.17,NO,1689882261
13,hermanus,-34.4187,19.2345,10.45,77,0,5.72,ZA,1689882385
14,devrek,41.2192,31.9558,21.24,64,0,2.23,TR,1689882485
15,praia da vitoria,38.7333,-27.0667,23.14,83,40,2.53,PT,1689882382
16,kruisfontein,-34.0033,24.7314,7.16,71,1,2.66,ZA,1689882299
17,tiksi,71.6872,128.8694,6.67,66,10,6.67,RU,1689882377
18,vilyuysk,63.7553,121.6247,14.54,87,9,2.29,RU,1689882485
19,mount gambier,-37.8333,140.7667,8.02,77,97,1.5,AU,1689882486
20,mildura,-34.2,142.15,4.48,90,0,4.05,AU,1689882364
21,san isidro de curuguaty,-24.5167,-55.7,27.95,45,52,3.47,PY,1689882486
22,tabou,4.423,-7.3528,24.95,87,63,5.27,CI,1689882378
23,gadzhiyevo,69.2551,33.3362,8.93,87,100,7.22,RU,1689882291
24,kirensk,57.7853,108.1119,12.71,82,8,0.25,RU,1689882487
25,inhambane,-23.865,35.3833,20.0,72,40,7.72,MZ,1689882487
26,conceicao do araguaia,-8.2578,-49.2647,34.87,19,36,3.15,BR,1689882487
27,tofol,5.3248,163.0078,27.44,83,100,9.04,FM,1689882339
28,labrador city,52.9463,-66.9114,16.95,63,100,2.06,CA,1689882331
29,longyearbyen,78.2186,15.6401,10.91,76,20,9.26,SJ,1689882410
30,edinburgh of the seven seas,-37.0676,-12.3116,11.75,59,17,9.61,SH,1689882288
31,papatowai,-46.5619,169.4708,5.25,72,6,8.34,NZ,1689882397
32,lago da pedra,-4.3333,-45.1667,32.58,36,0,2.17,BR,1689882489
33,tura,25.5198,90.2201,24.53,98,100,2.56,IN,1689882408
34,mananara,-16.1667,49.7667,22.24,92,100,2.47,MG,1689882489
35,manokwari,-0.8667,134.0833,25.63,81,12,1.85,ID,1689882490
36,port-aux-francais,-49.35,70.2167,1.45,69,89,17.54,TF,1689882236
37,lihue,21.9789,-159.3672,27.77,75,100,8.23,US,1689882384
38,vadso,70.0744,29.7487,8.49,93,75,8.75,NO,1689882387
39,ushuaia,-54.8,-68.3,-0.19,93,100,2.06,AR,1689882380
40,coquimbo,-29.9533,-71.3436,15.85,82,0,3.6,CL,1689882197
41,waitangi,-43.9535,-176.5597,9.82,71,98,9.94,NZ,1689882251
42,whakatane,-37.9585,176.9854,13.06,81,100,1.34,NZ,1689882249
43,coyhaique,-45.5752,-72.0662,7.34,93,75,2.06,CL,1689882491
44,kodinsk,58.6881,99.1844,15.34,61,5,1.21,RU,1689882492
45,bairnsdale,-37.8333,147.6167,8.92,79,71,4.77,AU,1689882491
46,ulladulla,-35.35,150.4667,11.65,64,47,3.87,AU,1689882467
47,ingeniero guillermo n. juarez,-23.9,-61.85,27.96,30,68,6.92,AR,1689882492
